Source;Target;Type;Weight
376088951;17647430;Directed;1
376088951;32416061;Directed;1
376088951;550180187;Directed;2
376088951;28110685;Directed;3
376088951;870137221;Directed;3
550180187;376088951;Directed;2
550180187;17870064;Directed;2
550180187;320140078;Directed;1
550180187;4308031;Directed;1
550180187;34881762;Directed;1
550180187;17150632;Directed;2
550180187;34621309;Directed;3
550180187;57601933;Directed;3
550180187;277980462;Directed;2
550180187;133671478;Directed;3
550180187;65947781;Directed;3
28110685;376088951;Directed;3
28110685;14845783;Directed;1
28110685;63293;Directed;2
28110685;109562464;Directed;3
28110685;320140078;Directed;1
28110685;15254157;Directed;1
28110685;87000390;Directed;1
28110685;249867294;Directed;1
28110685;120389940;Directed;2
28110685;90841202;Directed;3
28110685;21641783;Directed;3
28110685;295645137;Directed;3
28110685;548275303;Directed;2
28110685;17150632;Directed;1
28110685;520694018;Directed;1
28110685;24722855;Directed;2
28110685;8157942;Directed;2
28110685;27954163;Directed;3
28110685;10459922;Directed;1
28110685;17128025;Directed;2
28110685;776425646;Directed;2
870137221;37718215;Directed;2
870137221;168118507;Directed;2
870137221;548275303;Directed;3
870137221;312520229;Directed;3
870137221;369052765;Directed;3
870137221;122953100;Directed;1
870137221;331686288;Directed;1
870137221;241696095;Directed;1
870137221;226887947;Directed;2
870137221;214692112;Directed;1
870137221;316091227;Directed;2
870137221;21283529;Directed;1
870137221;494889695;Directed;2
870137221;369656581;Directed;2
870137221;133494538;Directed;3
870137221;872368556;Directed;3
870137221;54516516;Directed;3
870137221;76681219;Directed;3
870137221;409426929;Directed;2
870137221;328422006;Directed;1
870137221;210943152;Directed;1
870137221;333134389;Directed;1
870137221;122174133;Directed;1
870137221;872581957;Directed;1
870137221;573585707;Directed;1
870137221;385624859;Directed;2
61502712;17647430;Directed;3
61502712;32416061;Directed;3
61502712;14845783;Directed;1
61502712;22606966;Directed;1
61502712;193763394;Directed;3
61502712;191004748;Directed;3
61502712;123516974;Directed;1
61502712;16856080;Directed;1
61502712;20646457;Directed;1
61502712;42428580;Directed;1
61502712;14223773;Directed;2
61502712;25481788;Directed;2
61502712;20611257;Directed;3
61502712;45535193;Directed;3
61502712;27008946;Directed;2
61502712;20692623;Directed;1
61502712;53017241;Directed;2
61502712;279929259;Directed;1
61502712;16167356;Directed;2
61502712;48713350;Directed;3
61502712;41554259;Directed;3
61502712;320140078;Directed;3
61502712;43677126;Directed;1
61502712;15037028;Directed;1
61502712;93742094;Directed;1
61502712;15254157;Directed;2
61502712;269321619;Directed;3
61502712;96118569;Directed;3
61502712;14066952;Directed;3
61502712;273912398;Directed;3
61502712;87000390;Directed;1
61502712;221311019;Directed;1
61502712;249121666;Directed;2
61502712;257396357;Directed;1
61502712;15248126;Directed;1
61502712;249867294;Directed;1
61502712;23424743;Directed;3
61502712;14393888;Directed;1
61502712;100529876;Directed;2
61502712;327334911;Directed;1
61502712;18805582;Directed;1
61502712;26974807;Directed;1
61502712;143654480;Directed;2
61502712;90841202;Directed;2
61502712;235090590;Directed;3
61502712;617713;Directed;3
61502712;15720571;Directed;2
61502712;242009819;Directed;1
61502712;529155080;Directed;1
61502712;21641783;Directed;1
61502712;295645137;Directed;1
61502712;311880584;Directed;1
61502712;11583762;Directed;2
61502712;203436627;Directed;2
61502712;327267975;Directed;3
61502712;330930920;Directed;2
61502712;34621309;Directed;2
61502712;133671478;Directed;1
61502712;8157942;Directed;2
61502712;27954163;Directed;2
61502712;241696095;Directed;2
61502712;214692112;Directed;2
61502712;8853202;Directed;1
61502712;22757663;Directed;2
61502712;106714817;Directed;1
61502712;249601180;Directed;2
61502712;331475231;Directed;1
61502712;191141576;Directed;2
61502712;18915289;Directed;1
61502712;18304428;Directed;3
61502712;5223701;Directed;3
61502712;20975289;Directed;2
61502712;94867275;Directed;1
61502712;14304241;Directed;2
61502712;21025876;Directed;1
61502712;54348165;Directed;2
61502712;98657700;Directed;2
61502712;290708944;Directed;1
61502712;240623005;Directed;1
61502712;18983525;Directed;1
61502712;120017080;Directed;2
61502712;20099281;Directed;3
61502712;95033733;Directed;3
61502712;88445970;Directed;3
61502712;59073534;Directed;3
61502712;5804752;Directed;1
61502712;93398485;Directed;1
61502712;25657719;Directed;2
61502712;29189589;Directed;1
61502712;8157952;Directed;1
61502712;142388490;Directed;1
61502712;7875752;Directed;2
61502712;175332273;Directed;2
61502712;245881375;Directed;3
61502712;227992150;Directed;3
20646457;17647430;Directed;2
20646457;32416061;Directed;2
20646457;14845783;Directed;2
20646457;22606966;Directed;1
20646457;61502712;Directed;1
20646457;2230301;Directed;1
20646457;16856080;Directed;1
20646457;42428580;Directed;2
20646457;14223773;Directed;2
20646457;20611257;Directed;3
20646457;45535193;Directed;3
20646457;27008946;Directed;1
20646457;20692623;Directed;2
20646457;46063659;Directed;1
20646457;63283;Directed;1
20646457;53017241;Directed;1
20646457;332757341;Directed;2
